FeedbackID,AlumniID,EventID,MentorshipID,FeedbackDate,Rating,Comments
FB0033,ALU0236,EVT0028,,1/10/2025,2,Would love more frequent updates.
FB0034,ALU0871,EVT0015,MENT0591,11/12/2024,4,Appreciate the university’s support.
FB0035,ALU0636,,,10/12/2025,1,Could improve organization.
FB0036,ALU0358,EVT0029,,9/18/2025,3,Helpful mentorship experience.
FB0037,ALU0625,EVT0026,,2/6/2024,5,Excellent experience!
FB0038,ALU0108,,,1/20/2025,5,Great networking opportunity!
FB0039,ALU1536,EVT0034,,5/7/2024,1,Excellent experience!
FB0040,ALU1844,EVT0027,MENT0399,9/7/2025,3,The event was well-planned.
FB0041,ALU0649,,,6/27/2025,1,Good opportunity to connect.
FB0042,ALU1466,EVT0001,,7/16/2024,5,The event was well-planned.
FB0043,ALU0215,,,9/16/2024,2,Good opportunity to connect.
FB0044,ALU0385,,,3/16/2024,3,Could improve organization.
FB0045,ALU0056,EVT0028,MENT0697,1/9/2025,2,Enjoyed reconnecting with peers.
FB0046,ALU1683,EVT0019,,5/19/2024,2,Enjoyed reconnecting with peers.
FB0047,ALU0518,EVT0024,,12/30/2023,3,The event was well-planned.
FB0048,ALU0731,EVT0002,MENT0737,11/21/2024,2,Very informative session.
FB0049,ALU1956,EVT0004,MENT0705,7/21/2024,1,Great networking opportunity!
FB0050,ALU0314,EVT0005,,11/11/2024,4,Good opportunity to connect.
FB0051,ALU0957,EVT0032,MENT0350,8/16/2024,3,The event was well-planned.
FB0052,ALU0033,EVT0026,MENT0530,12/13/2023,5,Enjoyed reconnecting with peers.
FB0053,ALU0706,,,3/20/2025,4,Excellent experience!
FB0054,ALU1654,EVT0003,,1/2/2025,4,The event was well-planned.
FB0055,ALU0463,EVT0024,MENT0427,8/19/2025,1,The event was well-planned.
FB0056,ALU1520,EVT0025,,8/31/2024,4,Would love more frequent updates.
FB0057,ALU1236,EVT0004,,9/26/2024,3,Very informative session.
FB0058,ALU0617,EVT0033,,10/4/2024,3,Would love more frequent updates.
FB0059,ALU0561,,MENT0302,5/12/2024,2,Good opportunity to connect.
FB0060,ALU0799,EVT0030,,12/25/2024,1,The event was well-planned.
FB0061,ALU1281,,,5/5/2025,3,Appreciate the university’s support.
FB0062,ALU1835,EVT0011,MENT0205,6/27/2024,4,Would love more frequent updates.
FB0063,ALU1416,EVT0002,,5/19/2025,1,Excellent experience!
FB0064,ALU1254,EVT0017,MENT0519,3/21/2025,2,Enjoyed reconnecting with peers.
FB0065,ALU0034,,,5/3/2024,1,Very informative session.
FB0066,ALU0759,EVT0011,MENT0699,7/13/2024,5,Great networking opportunity!
FB0067,ALU0039,,,9/3/2025,4,Good opportunity to connect.
FB0068,ALU0733,,MENT0139,12/29/2024,2,Could improve organization.
FB0069,ALU1393,EVT0008,,10/28/2023,1,Helpful mentorship experience.
FB0070,ALU0197,EVT0033,MENT0241,4/13/2025,3,Would love more frequent updates.
FB0071,ALU0466,EVT0018,,9/8/2024,5,Appreciate the university’s support.
FB0072,ALU0854,EVT0028,,2/14/2025,4,Excellent experience!
FB0073,ALU0383,,,1/31/2025,4,Excellent experience!
FB0074,ALU0304,EVT0016,,8/6/2025,4,Good opportunity to connect.
FB0075,ALU1979,EVT0034,MENT0174,7/19/2024,5,Excellent experience!
FB0076,ALU0115,EVT0005,MENT0204,8/29/2025,3,Would love more frequent updates.
FB0077,ALU0598,EVT0015,,6/11/2024,3,Would love more frequent updates.
FB0078,ALU0700,,,8/5/2024,2,The event was well-planned.
FB0079,ALU1119,,MENT0412,9/11/2024,2,Great networking opportunity!
FB0080,ALU1430,EVT0033,,3/31/2025,3,Good opportunity to connect.
FB0081,ALU0393,EVT0032,,7/9/2025,3,Would love more frequent updates.
FB0082,ALU0796,EVT0033,,8/13/2024,2,Could improve organization.
FB0083,ALU1560,EVT0022,MENT0741,5/6/2025,3,Good opportunity to connect.
FB0084,ALU1692,EVT0015,,2/9/2024,3,Good opportunity to connect.
FB0085,ALU1782,EVT0009,,10/2/2025,5,Very informative session.
FB0086,ALU1519,,,4/6/2025,4,Good opportunity to connect.
FB0087,ALU1334,,MENT0050,6/15/2025,5,Very informative session.
FB0088,ALU0257,EVT0019,,12/4/2023,5,Great networking opportunity!
FB0089,ALU0190,,MENT0265,6/14/2024,4,Enjoyed reconnecting with peers.
FB0090,ALU1028,EVT0028,,2/14/2025,4,Would love more frequent updates.
FB0091,ALU0948,EVT0015,,11/18/2024,1,Appreciate the university’s support.
FB0092,ALU0432,EVT0007,,1/22/2025,1,Excellent experience!
FB0093,ALU1403,,,7/2/2025,3,Good opportunity to connect.
FB0094,ALU0927,,,12/2/2023,4,Enjoyed reconnecting with peers.
FB0095,ALU1541,EVT0012,,10/20/2025,5,The event was well-planned.
FB0096,ALU0372,,,8/15/2024,5,Helpful mentorship experience.
FB0097,ALU1922,EVT0023,,7/31/2024,5,Great networking opportunity!
FB0098,ALU0820,EVT0023,,12/9/2024,4,Great networking opportunity!
FB0099,ALU1678,,,2/11/2025,4,Could improve organization.
FB0100,ALU0010,EVT0027,,10/7/2025,1,Could improve organization.
FB0101,ALU0970,EVT0014,,5/8/2024,4,Very informative session.
FB0102,ALU1355,EVT0032,,7/21/2025,2,Good opportunity to connect.
FB0103,ALU0782,,MENT0286,2/10/2025,2,Would love more frequent updates.
FB0104,ALU1546,,,2/27/2025,2,Great networking opportunity!
FB0105,ALU0944,,MENT0479,8/27/2025,1,Excellent experience!
FB0106,ALU1930,EVT0027,MENT0482,1/20/2025,4,Helpful mentorship experience.
FB0107,ALU0732,EVT0032,,8/2/2025,4,Would love more frequent updates.
FB0108,ALU1969,EVT0015,MENT0643,3/11/2025,1,Could improve organization.
FB0109,ALU1440,,,1/6/2024,2,Enjoyed reconnecting with peers.
FB0110,ALU1622,,MENT0561,6/2/2025,2,Would love more frequent updates.
FB0111,ALU0937,EVT0012,,10/26/2024,4,Could improve organization.
FB0112,ALU0345,,,12/1/2023,3,Enjoyed reconnecting with peers.
FB0113,ALU0695,EVT0003,,1/19/2024,5,Very informative session.
FB0114,ALU0008,,,9/27/2025,3,Good opportunity to connect.
FB0115,ALU0571,EVT0018,MENT0644,5/22/2025,5,Would love more frequent updates.
FB0116,ALU1106,,,10/21/2024,3,Very informative session.
FB0117,ALU0364,EVT0012,,4/5/2024,3,Could improve organization.
FB0118,ALU1125,EVT0018,MENT0706,6/30/2024,4,Enjoyed reconnecting with peers.
FB0119,ALU1778,,,8/12/2024,2,Excellent experience!
FB0120,ALU1783,EVT0026,MENT0193,7/22/2024,4,Excellent experience!
FB0121,ALU0769,EVT0001,,1/23/2024,1,Helpful mentorship experience.
FB0122,ALU0455,,MENT0464,12/5/2024,3,Helpful mentorship experience.
FB0123,ALU0269,EVT0034,,1/25/2024,5,Excellent experience!
FB0124,ALU1736,EVT0021,,12/21/2023,5,Great networking opportunity!
FB0125,ALU0597,EVT0002,,11/22/2023,5,Excellent experience!
FB0126,ALU0741,EVT0012,,6/22/2024,4,The event was well-planned.
FB0127,ALU1620,EVT0005,,7/16/2024,3,Great networking opportunity!
FB0128,ALU0365,EVT0010,MENT0355,3/30/2024,3,Excellent experience!
FB0129,ALU0240,EVT0026,,6/23/2025,5,Excellent experience!
FB0130,ALU0374,EVT0033,MENT0098,1/9/2024,4,Enjoyed reconnecting with peers.
FB0131,ALU0393,EVT0028,,2/12/2024,4,Could improve organization.
FB0132,ALU0049,EVT0018,,4/28/2025,5,Would love more frequent updates.
FB0133,ALU0913,EVT0011,MENT0494,7/24/2025,3,Great networking opportunity!
FB0134,ALU0023,EVT0007,,6/2/2024,1,Enjoyed reconnecting with peers.
FB0135,ALU0818,,MENT0409,2/25/2024,1,Very informative session.
FB0136,ALU1882,EVT0023,,10/22/2024,4,Helpful mentorship experience.
FB0137,ALU0446,,,3/2/2025,5,Good opportunity to connect.
FB0138,ALU0432,,MENT0044,5/12/2025,2,Could improve organization.
FB0139,ALU1859,EVT0004,,12/2/2024,3,Helpful mentorship experience.
FB0140,ALU0672,,MENT0565,2/1/2024,1,Appreciate the university’s support.
FB0141,ALU0172,,,12/30/2023,3,The event was well-planned.
FB0142,ALU1528,EVT0027,,5/6/2025,1,Great networking opportunity!
FB0143,ALU0766,EVT0003,,11/7/2023,3,Great networking opportunity!
FB0144,ALU0840,EVT0024,MENT0334,10/25/2025,1,Helpful mentorship experience.
FB0145,ALU1851,,,9/28/2024,2,Enjoyed reconnecting with peers.
FB0146,ALU1972,EVT0011,,6/24/2025,4,Enjoyed reconnecting with peers.
FB0147,ALU0451,EVT0004,,6/17/2025,3,Great networking opportunity!
FB0148,ALU1449,EVT0006,,6/20/2024,3,Very informative session.
FB0149,ALU0221,,,10/4/2025,5,Good opportunity to connect.
FB0150,ALU1746,EVT0019,MENT0635,5/10/2024,1,Enjoyed reconnecting with peers.
FB0151,ALU0493,EVT0032,MENT0432,11/10/2024,5,Would love more frequent updates.
FB0152,ALU0889,EVT0027,MENT0800,7/5/2025,2,Could improve organization.
FB0153,ALU0311,EVT0024,MENT0100,8/28/2025,3,Enjoyed reconnecting with peers.
FB0154,ALU1550,EVT0035,,1/7/2024,2,Helpful mentorship experience.
FB0155,ALU1927,EVT0028,,10/27/2025,4,Would love more frequent updates.
FB0156,ALU0144,EVT0010,,10/19/2025,4,Could improve organization.
FB0157,ALU0128,EVT0009,MENT0298,3/9/2025,1,Could improve organization.
FB0158,ALU0777,,,5/19/2024,5,Appreciate the university’s support.
FB0159,ALU1328,EVT0032,MENT0626,7/11/2024,2,Good opportunity to connect.
FB0160,ALU1364,EVT0032,,4/2/2025,2,Could improve organization.
FB0161,ALU0208,EVT0004,,12/29/2023,1,Excellent experience!
FB0162,ALU1458,EVT0004,MENT0765,7/1/2024,5,Would love more frequent updates.
FB0163,ALU1763,EVT0034,,2/28/2025,4,Appreciate the university’s support.
FB0164,ALU0958,EVT0009,,6/19/2024,4,Excellent experience!
FB0165,ALU1542,EVT0011,,6/26/2024,5,Enjoyed reconnecting with peers.
FB0166,ALU1683,EVT0027,,3/29/2025,2,Enjoyed reconnecting with peers.
FB0167,ALU0610,EVT0032,MENT0439,12/9/2023,2,Enjoyed reconnecting with peers.
FB0168,ALU1693,,MENT0729,9/12/2025,4,Excellent experience!
FB0169,ALU0935,EVT0029,,4/1/2025,4,Great networking opportunity!
FB0170,ALU0630,,MENT0632,8/16/2025,3,Good opportunity to connect.
FB0171,ALU0444,EVT0022,,6/6/2024,4,Helpful mentorship experience.
FB0172,ALU0517,,,9/19/2025,5,Great networking opportunity!
FB0173,ALU0375,,,6/3/2024,3,Helpful mentorship experience.
FB0174,ALU1734,EVT0031,MENT0739,1/18/2024,2,Excellent experience!
FB0175,ALU0648,EVT0016,,6/16/2024,2,Appreciate the university’s support.
FB0176,ALU0601,,MENT0204,6/24/2024,4,Would love more frequent updates.
FB0177,ALU0818,EVT0003,,5/2/2024,1,Helpful mentorship experience.
FB0178,ALU1276,,MENT0718,4/3/2024,5,Appreciate the university’s support.
FB0179,ALU1572,EVT0008,,12/30/2024,5,The event was well-planned.
FB0180,ALU1591,EVT0031,,3/3/2024,4,Appreciate the university’s support.
FB0181,ALU0304,,MENT0552,11/21/2023,1,Could improve organization.
FB0182,ALU1240,EVT0017,,1/30/2024,4,Helpful mentorship experience.
FB0183,ALU0520,EVT0012,,4/6/2025,4,Great networking opportunity!
FB0184,ALU1248,,MENT0477,10/15/2024,1,Helpful mentorship experience.
FB0185,ALU1284,,,10/8/2025,5,Enjoyed reconnecting with peers.
FB0186,ALU1103,EVT0003,MENT0236,5/22/2024,2,Helpful mentorship experience.
FB0187,ALU0117,EVT0034,,7/8/2025,4,Great networking opportunity!
FB0188,ALU0459,EVT0020,,8/13/2025,4,Excellent experience!
FB0189,ALU0823,EVT0012,,8/8/2024,2,Could improve organization.
FB0190,ALU1838,EVT0023,MENT0060,10/7/2024,2,The event was well-planned.
FB0191,ALU0844,EVT0022,,6/9/2025,3,Could improve organization.
FB0192,ALU1342,,,10/7/2024,4,Would love more frequent updates.
FB0193,ALU1582,EVT0006,MENT0444,9/13/2025,4,Enjoyed reconnecting with peers.
FB0194,ALU1562,EVT0017,,4/6/2024,1,Good opportunity to connect.
FB0195,ALU0045,EVT0021,MENT0216,8/6/2024,4,Enjoyed reconnecting with peers.
FB0196,ALU0402,EVT0021,,5/6/2024,5,Great networking opportunity!
FB0197,ALU1261,EVT0012,MENT0122,3/25/2025,5,Good opportunity to connect.
FB0198,ALU1241,EVT0016,,7/10/2024,4,Enjoyed reconnecting with peers.
FB0199,ALU1236,EVT0026,,8/11/2024,3,Enjoyed reconnecting with peers.
FB0200,ALU1815,EVT0011,MENT0176,8/4/2024,2,The event was well-planned.
FB0201,ALU0394,EVT0026,,10/11/2024,4,Could improve organization.
FB0202,ALU0945,EVT0005,,10/9/2025,4,The event was well-planned.
FB0203,ALU1448,EVT0034,,7/7/2024,4,Great networking opportunity!
FB0204,ALU1427,EVT0028,,10/1/2025,2,Good opportunity to connect.
FB0205,ALU0425,EVT0030,,4/11/2024,1,Appreciate the university’s support.
FB0206,ALU1777,EVT0015,,9/27/2024,1,Would love more frequent updates.
FB0207,ALU0440,EVT0018,,9/18/2024,1,The event was well-planned.
FB0208,ALU1713,,MENT0303,10/23/2025,4,Would love more frequent updates.
FB0209,ALU1577,EVT0026,,5/9/2024,5,Great networking opportunity!
FB0210,ALU0594,,MENT0105,3/3/2025,4,Excellent experience!
FB0211,ALU0751,,,7/16/2024,3,The event was well-planned.
FB0212,ALU1034,EVT0025,,11/7/2023,4,Good opportunity to connect.
FB0213,ALU0350,,MENT0586,4/7/2025,5,Good opportunity to connect.
FB0214,ALU0770,EVT0010,,6/12/2025,2,Enjoyed reconnecting with peers.
FB0215,ALU0761,,MENT0417,7/20/2025,5,Helpful mentorship experience.
FB0216,ALU0527,,,10/13/2025,5,Enjoyed reconnecting with peers.
FB0217,ALU0550,,,11/22/2023,3,Good opportunity to connect.
FB0218,ALU0584,EVT0009,,1/26/2025,5,Enjoyed reconnecting with peers.
FB0219,ALU1952,EVT0012,MENT0313,9/27/2025,5,Could improve organization.
FB0220,ALU0268,EVT0008,,8/14/2024,3,Excellent experience!
FB0221,ALU1505,EVT0019,,3/25/2024,3,Good opportunity to connect.
FB0222,ALU1484,EVT0012,MENT0556,3/22/2025,4,Could improve organization.
FB0223,ALU1099,,MENT0516,6/3/2025,3,Would love more frequent updates.
FB0224,ALU1030,,,2/18/2025,3,Great networking opportunity!
FB0225,ALU0080,,MENT0203,11/18/2023,3,Great networking opportunity!
FB0226,ALU0251,EVT0006,,2/5/2024,3,Very informative session.
FB0227,ALU0679,EVT0017,,7/7/2024,5,Excellent experience!
FB0228,ALU0339,,,5/6/2025,3,Good opportunity to connect.
FB0229,ALU0532,EVT0013,MENT0114,5/10/2025,5,The event was well-planned.
FB0230,ALU1370,,,6/18/2024,3,Appreciate the university’s support.
FB0231,ALU1124,,,2/2/2025,5,The event was well-planned.
FB0232,ALU0085,EVT0034,,7/20/2025,2,Excellent experience!
FB0233,ALU0386,EVT0021,,12/27/2023,4,Enjoyed reconnecting with peers.
FB0234,ALU1889,,MENT0035,8/13/2025,4,The event was well-planned.
FB0235,ALU1056,,,3/21/2024,1,Enjoyed reconnecting with peers.
FB0236,ALU0463,EVT0035,MENT0773,12/23/2024,5,Great networking opportunity!
FB0237,ALU0792,EVT0006,,10/7/2025,3,Enjoyed reconnecting with peers.
FB0238,ALU0400,,,8/31/2024,2,Could improve organization.
FB0239,ALU1564,EVT0034,MENT0781,1/28/2024,2,Great networking opportunity!
FB0240,ALU1595,EVT0006,MENT0727,5/31/2024,1,Could improve organization.
FB0241,ALU0489,EVT0031,,5/16/2025,4,Excellent experience!
FB0242,ALU0536,EVT0012,,3/9/2025,4,Great networking opportunity!
FB0243,ALU0766,EVT0022,,7/22/2025,3,Very informative session.
FB0244,ALU0922,EVT0021,,7/29/2024,5,The event was well-planned.
FB0245,ALU1493,,,12/23/2024,4,Very informative session.
FB0246,ALU0895,EVT0023,MENT0667,8/1/2025,2,Good opportunity to connect.
FB0247,ALU1592,,,1/15/2024,1,The event was well-planned.
FB0248,ALU0074,EVT0015,MENT0042,11/13/2024,5,Would love more frequent updates.
FB0249,ALU0087,EVT0033,,1/4/2025,1,Could improve organization.
FB0250,ALU1247,EVT0025,MENT0634,6/13/2025,5,Could improve organization.
FB0251,ALU1162,EVT0016,MENT0173,4/4/2024,5,Very informative session.
FB0252,ALU1566,EVT0019,,9/8/2024,2,Appreciate the university’s support.
FB0253,ALU1823,EVT0030,,9/14/2024,5,Great networking opportunity!
FB0254,ALU0431,EVT0001,,1/31/2025,4,Good opportunity to connect.
FB0255,ALU0097,EVT0003,MENT0225,1/15/2024,5,Helpful mentorship experience.
FB0256,ALU0738,EVT0007,,6/16/2024,1,Could improve organization.
FB0257,ALU1549,EVT0031,MENT0304,10/6/2025,4,Good opportunity to connect.
FB0258,ALU1625,EVT0005,MENT0228,12/5/2024,1,Would love more frequent updates.
FB0259,ALU1635,EVT0012,,9/6/2024,5,Very informative session.
FB0260,ALU0014,EVT0012,,8/8/2024,5,Helpful mentorship experience.
FB0261,ALU0591,EVT0014,MENT0660,3/20/2024,5,Great networking opportunity!
FB0262,ALU0186,,,4/14/2024,1,Could improve organization.
FB0263,ALU1531,EVT0008,MENT0573,8/7/2025,5,Great networking opportunity!
FB0264,ALU0646,EVT0001,,6/9/2025,1,Could improve organization.
FB0265,ALU1990,,,5/2/2025,1,Enjoyed reconnecting with peers.
FB0266,ALU0536,,,3/21/2024,5,Would love more frequent updates.
FB0267,ALU0795,EVT0007,,2/13/2025,5,Very informative session.
FB0268,ALU0166,EVT0017,,3/14/2024,4,Helpful mentorship experience.
FB0269,ALU1407,,,10/15/2024,4,The event was well-planned.
FB0270,ALU1617,EVT0027,MENT0242,2/10/2025,3,Could improve organization.
FB0271,ALU0269,EVT0028,,3/17/2024,2,Good opportunity to connect.
FB0272,ALU0468,EVT0018,,3/29/2024,1,Very informative session.
FB0273,ALU1277,EVT0005,,4/9/2025,3,Could improve organization.
FB0274,ALU1905,EVT0034,,9/30/2024,3,Helpful mentorship experience.
FB0275,ALU1307,,MENT0442,8/10/2025,1,Would love more frequent updates.
FB0276,ALU0207,EVT0009,,4/7/2024,1,Helpful mentorship experience.
FB0277,ALU1328,EVT0001,,3/16/2025,5,Excellent experience!
FB0278,ALU0252,EVT0032,MENT0738,7/7/2025,1,Helpful mentorship experience.
FB0279,ALU1735,EVT0002,,5/29/2024,5,Helpful mentorship experience.
FB0280,ALU1642,EVT0034,MENT0653,6/22/2025,5,Appreciate the university’s support.
FB0281,ALU1289,EVT0023,MENT0725,7/30/2024,4,Would love more frequent updates.
FB0282,ALU0343,,,11/25/2023,4,Very informative session.
FB0283,ALU0278,,MENT0471,6/23/2024,2,Would love more frequent updates.
FB0284,ALU1572,EVT0033,,10/7/2025,3,Appreciate the university’s support.
FB0285,ALU0608,EVT0014,MENT0237,8/8/2025,3,Enjoyed reconnecting with peers.
FB0286,ALU0694,EVT0018,,3/31/2025,2,Enjoyed reconnecting with peers.
FB0287,ALU1099,EVT0033,MENT0309,10/25/2024,4,Good opportunity to connect.
FB0288,ALU0917,EVT0015,,7/23/2025,1,Would love more frequent updates.
FB0289,ALU1133,,,11/5/2024,4,Good opportunity to connect.
FB0290,ALU0502,EVT0009,MENT0768,11/19/2024,1,Excellent experience!
FB0291,ALU1424,EVT0011,,11/30/2023,5,Could improve organization.
FB0292,ALU1446,,,11/27/2023,4,Would love more frequent updates.
FB0293,ALU0360,EVT0028,,8/18/2024,1,Appreciate the university’s support.
FB0294,ALU1749,EVT0032,MENT0605,2/1/2024,5,Excellent experience!
FB0295,ALU0591,,MENT0392,4/7/2024,3,Good opportunity to connect.
FB0296,ALU0763,EVT0016,,7/18/2025,4,Could improve organization.
FB0297,ALU0758,EVT0005,MENT0536,7/12/2025,5,Could improve organization.
FB0298,ALU0813,,,4/15/2025,4,Helpful mentorship experience.
FB0299,ALU0912,EVT0015,,9/26/2025,3,Would love more frequent updates.
FB0300,ALU0557,EVT0033,,11/9/2024,1,Very informative session.
FB0301,ALU0279,EVT0029,,11/28/2023,4,The event was well-planned.
FB0302,ALU0258,EVT0030,,7/24/2024,3,Appreciate the university’s support.
FB0303,ALU1478,EVT0013,,6/28/2025,4,Could improve organization.
FB0304,ALU0604,EVT0035,MENT0515,10/12/2024,5,Great networking opportunity!
FB0305,ALU0132,,,2/12/2025,3,Excellent experience!
FB0306,ALU1885,EVT0016,MENT0011,3/1/2024,1,Very informative session.
FB0307,ALU1954,EVT0023,,12/17/2023,1,Excellent experience!
FB0308,ALU1310,EVT0029,,3/6/2024,1,Would love more frequent updates.
FB0309,ALU0805,EVT0017,,12/24/2024,5,Good opportunity to connect.
FB0310,ALU1367,,,1/30/2024,1,The event was well-planned.
FB0311,ALU0625,,MENT0692,7/14/2025,4,Very informative session.
FB0312,ALU0410,,,10/15/2024,2,Could improve organization.
FB0313,ALU0166,EVT0017,,7/6/2024,1,The event was well-planned.
FB0314,ALU0624,EVT0035,,7/29/2024,1,Great networking opportunity!
FB0315,ALU1567,EVT0027,,8/1/2024,1,Excellent experience!
FB0316,ALU0646,,,7/3/2025,5,Excellent experience!
FB0317,ALU0341,EVT0026,MENT0026,11/21/2023,2,Good opportunity to connect.
FB0318,ALU1928,EVT0004,,2/18/2025,2,Good opportunity to connect.
FB0319,ALU0276,,MENT0017,9/14/2025,3,Good opportunity to connect.
FB0320,ALU1268,,,3/8/2024,2,The event was well-planned.
FB0321,ALU0755,EVT0023,MENT0226,9/20/2024,3,Very informative session.
FB0322,ALU0816,EVT0034,,4/13/2025,1,Very informative session.
FB0323,ALU1493,EVT0019,,10/6/2025,2,Enjoyed reconnecting with peers.
FB0324,ALU1542,,MENT0503,3/18/2024,3,Excellent experience!
FB0325,ALU1520,EVT0002,,8/16/2025,3,Very informative session.
FB0326,ALU0244,EVT0027,,1/3/2025,3,Very informative session.
FB0327,ALU0309,,MENT0096,7/12/2025,3,Good opportunity to connect.
FB0328,ALU1656,,,12/4/2024,4,The event was well-planned.
FB0329,ALU0126,,,1/25/2025,2,Great networking opportunity!
FB0330,ALU0935,,MENT0017,9/15/2024,5,Could improve organization.
FB0331,ALU1395,EVT0034,MENT0607,6/14/2024,2,Enjoyed reconnecting with peers.
FB0332,ALU1275,EVT0005,,3/24/2024,4,Helpful mentorship experience.
FB0333,ALU0507,,,3/26/2025,2,Helpful mentorship experience.
FB0334,ALU0805,EVT0031,,1/29/2025,1,Excellent experience!
FB0335,ALU1453,EVT0031,MENT0407,1/15/2024,4,Helpful mentorship experience.
FB0336,ALU0640,,,10/26/2024,5,The event was well-planned.
FB0337,ALU0613,EVT0027,,11/18/2023,4,Very informative session.
FB0338,ALU0796,EVT0003,MENT0064,12/12/2024,4,The event was well-planned.
FB0339,ALU1760,EVT0019,,9/11/2025,4,Could improve organization.
FB0340,ALU0131,EVT0021,,6/9/2025,3,Would love more frequent updates.
FB0341,ALU1881,EVT0025,,7/1/2024,1,Enjoyed reconnecting with peers.
FB0342,ALU1898,EVT0026,,7/7/2024,3,Could improve organization.
FB0343,ALU0149,EVT0026,,5/27/2024,4,Would love more frequent updates.
FB0344,ALU0912,,MENT0449,4/30/2024,1,Good opportunity to connect.
FB0345,ALU0964,EVT0009,,9/8/2024,2,Excellent experience!
FB0346,ALU0936,EVT0010,,4/21/2024,4,Great networking opportunity!
FB0347,ALU0450,,,7/13/2024,2,Helpful mentorship experience.
FB0348,ALU0959,EVT0019,,8/3/2025,2,Good opportunity to connect.
FB0349,ALU0329,EVT0018,MENT0509,10/25/2024,2,Great networking opportunity!
FB0350,ALU1281,EVT0035,MENT0598,8/29/2024,4,Appreciate the university’s support.
FB0351,ALU1464,EVT0018,MENT0331,7/1/2025,1,Appreciate the university’s support.
FB0352,ALU0864,,,8/31/2025,3,Good opportunity to connect.
FB0353,ALU0844,EVT0032,,3/17/2024,4,Good opportunity to connect.
FB0354,ALU1064,EVT0019,MENT0710,9/8/2025,2,Appreciate the university’s support.
FB0355,ALU0472,EVT0029,,8/23/2025,2,Would love more frequent updates.
FB0356,ALU1277,EVT0009,,8/15/2025,1,The event was well-planned.
FB0357,ALU0865,EVT0033,MENT0080,5/10/2025,1,Helpful mentorship experience.
FB0358,ALU0965,,MENT0429,11/12/2023,5,The event was well-planned.
FB0359,ALU0063,EVT0027,,6/14/2024,3,Good opportunity to connect.
FB0360,ALU0715,EVT0015,MENT0662,3/22/2024,5,Great networking opportunity!
FB0361,ALU0168,EVT0027,,10/12/2024,4,Excellent experience!
FB0362,ALU1276,EVT0009,,6/19/2024,4,Would love more frequent updates.
FB0363,ALU1817,,MENT0580,11/14/2023,5,Very informative session.
FB0364,ALU0119,EVT0010,,5/15/2024,1,Appreciate the university’s support.
FB0365,ALU0067,,,6/21/2024,3,Would love more frequent updates.
FB0366,ALU0954,,,4/2/2024,2,Good opportunity to connect.
FB0367,ALU1470,,,12/10/2024,5,Could improve organization.
FB0368,ALU1282,EVT0022,,2/15/2024,1,Could improve organization.
FB0369,ALU1050,EVT0007,,4/20/2025,1,Great networking opportunity!
FB0370,ALU0909,,,11/3/2024,5,Enjoyed reconnecting with peers.
FB0371,ALU1101,,,9/23/2024,1,The event was well-planned.
